disease,description
chronic otitis media,"Chronic otitis media (COM) is a common problem facing general practitioners, pediatricians and otolaryngologists. This article reviews the aetiopathogenesis, epidemiology, presentation, natural history, complications and management of COM. The literature was reviewed by using the PubMed search engine and entering a combination of terms including ""COM"", ""diagnosis"", ""incidence"", ""complications"" and ""management"". Relevant articles were identified and examined for content. What is the ""take-home"" message for the clinician? COM is a common problem with various sub-categories according to the disease state. It most commonly presents with painless otorrhoea and hearing loss. Treatment options vary according to the activity and type of disease encountered. COM carries significant patient morbidity...."
chronic pain disorder,"Chronic pelvic pain syndrome (CPPS) is one of the common diseases in urology and gynecology. CPPS is a multifactorial disorder where pain may originate in any of the urogynecological, gastrointestinal, pelvic musculoskeletal, or nervous systems. The symptoms of CPPS appear to result from an interplay between psychological factors and dysfunction in the immune, neurological, and endocrine systems. The aim of this article was to present new insight about CPPS in order to raise awareness of nursing and medical staff in the identification and diagnosis of the syndrome and to promote an appropriate treatment for each woman who suffers from CPPS...."
chronic pancreatitis,"Chronic pancreatitis is a multifactorial, fibroinflammatory syndrome in which repetitive episodes of pancreatic inflammation lead to extensive fibrotic tissue replacement, resulting in chronic pain, exocrine and endocrine pancreatic insufficiency, reduced quality of life, and a shorter life expectancy. The incidence and prevalence of chronic pancreatitis is rising and no curative treatment is available. Using novel diagnostic algorithms, definitive chronic pancreatitis can be diagnosed by imaging criteria alone, whereas probable chronic pancreatitis requires clinical features and imaging criteria. Criteria for the diagnosis of early chronic pancreatitis are still under discussion and need prospective validation in clinical trials. Cross-sectional imaging should be used first; endoscopic ultrasound is needed only when CT or MRI are inconclusive or to plan therapeutic interventions. Management of chronic pancreatitis requires an interdisciplinary approach including primary care practitioners, gastroenterologists, surgeons, radiologists, pain specialists, and nutritional therapists. Patients with chronic pancreatitis should be seen at least once a year and re-evaluated for causal risk factors, symptom control, and complications such as malnutrition, pancreatic exocrine insufficiency, and diabetes; refer to a specialised centre if symptoms are poorly controlled or there is risk of deterioration. Scoring systems to monitor disease progression have been developed and validated internationally. Interventional treatments for pain or cholestasis should be done by specialists only, and early discussion of treatment approaches should include all medical disciplines involved in care. Throughout this Seminar, we address research needs such as staging of pancreatitis, aspects of malnutrition and pain, and cancer surveillance, to help improve the care of patients...."
chronic sinusitis,"Fungal sinusitis is characterized into invasive and noninvasive forms. The invasive variety is further classified into acute, chronic and granulomatous forms; and the noninvasive variety into fungus ball and allergic fungal sinusitis. Each of these different forms has a unique radiologic appearance. The clinicopathologic and corresponding radiologic spectrum and differences in treatment strategies of fungal sinusitis make it an important diagnosis for clinicians and radiologists to always consider. This is particularly true of invasive fungal sinusitis, which typically affects immuno compromised patients and is associated with significant morbidity and mortality. Early diagnosis allows initiation of appropriate treatment strategies resulting in favorable outcome...."
chronic subdural hematoma,"Chronic subdural hematoma (CSDH) is a complex disease with an overall incidence of 1.7-20.6 per 100,000 persons per year and is more commonly encountered in the elderly population. The pathophysiologic cycle of CSDH formation and expansion involves traumatic and inflammatory components that promote the formation of membranes with permeable neovessels. Many drugs targeting different elements of this cycle are being actively investigated as potential therapeutic agents in CSDH. Burr hole craniostomy appears to be the most commonly used procedure for surgical evacuation, and outcomes are generally favorable. Recurrence can occur in 10%-20% of patients and is associated with several clinical and radiographic predictors. Middle meningeal artery embolization represents one of the latest additions to the therapeutic arsenal of cerebrovascular specialists in treating CSDH and is being critically evaluated in numerous ongoing clinical trials...."
chronic ulcer,"The widespread existence of unhealed wounds, ulcers, and burns has a great impact on public health and economy. Many interventions, including new medications and technologies, are being used to help achieve significant wound healing and to eliminate infections. Therefore, to find an intervention that has both therapeutic effect on the healing process and the ability to kill microbes is of great value. Honey is a natural product that has been recently introduced in modern medical practice. Honey's antibacterial properties and its effects on wound healing have been thoroughly investigated. Laboratory studies and clinical trials have shown that honey is an effective broad-spectrum antibacterial agent. This paper reviews data that support the effectiveness of natural honey in wound healing and its ability to sterilize infected wounds. Studies on the therapeutic effects of honey collected in different geographical areas on skin wounds, skin and gastric ulcers, and burns are reviewed and mechanisms of action are discussed. (Ulcers and burns are included as an example of challenging wounds.) The data show that the wound healing properties of honey include stimulation of tissue growth, enhanced epithelialization, and minimized scar formation. These effects are ascribed to honey's acidity, hydrogen peroxide content, osmotic effect, nutritional and antioxidant contents, stimulation of immunity, and to unidentified compounds. Prostaglandins and nitric oxide play a major role in inflammation, microbial killing, and the healing process. Honey was found to lower prostaglandin levels and elevate nitric oxide end products. These properties might help to explain some biological and therapeutic properties of honey, particularly as an antibacterial agent or wound healer. The data presented here demonstrate that honeys from different geographical areas have considerable therapeutic effects on chronic wounds, ulcers, and burns. The results encourage the use of honey in clinical practice as a natural and safe wound healer...."
cold sore,"Herpes labialis remains exceedingly prevalent and is one of the most common human viral infections throughout the world. Recurrent herpes labialis evolves from the initial viral infection by herpes simplex virus type 1 (HSV-1) which subsequently presents with or without symptoms. Reactivation of this virus is triggered by psychosocial factors such as stress, febrile environment, ultraviolet light susceptibility, or specific dietary inadequacy. This virus infection is also characterized by uninterrupted transitions between chronic-latent and acute-recurrent phases, allowing the virus to opportunistically avoid immunity and warrant the transmission to other vulnerable hosts simultaneously. This review comprehensively evaluates the current evidence on epidemiology, pathogenesis, transmission modes, clinical manifestations, and current management options of herpes labialis infections...."
colitis,"To provide the definition, causes, and current recommendations for workup and treatment of acute infectious colitis in adults, a common medical problem of diverse cause...."
congenital cytomegalovirus,"Congenital cytomegalovirus is the most frequent, yet under-recognised, infectious cause of newborn malformation in developed countries. Despite its clinical and public health importance, questions remain regarding the best diagnostic methods for identifying maternal and neonatal infection, and regarding optimal prevention and therapeutic strategies for infected mothers and neonates. The absence of guidelines impairs global efforts to decrease the effect of congenital cytomegalovirus. Data in the literature suggest that congenital cytomegalovirus infection remains a research priority, but data are yet to be translated into clinical practice. An informal International Congenital Cytomegalovirus Recommendations Group was convened in 2015 to address these questions and to provide recommendations for prevention, diagnosis, and treatment. On the basis of consensus discussions and a review of the literature, we do not support universal screening of mothers and the routine use of cytomegalovirus immunoglobulin for prophylaxis or treatment of infected mothers. However, treatment guidelines for infected neonates were recommended. Consideration must be given to universal neonatal screening for cytomegalovirus to facilitate early detection and intervention for sensorineural hearing loss and developmental delay, where appropriate. The group agreed that education and prevention strategies for mothers were beneficial, and that recommendations will need continual updating as further data become available...."
conjunctivitis due to allergy,"Vernal keratoconjunctivitis (VKC) is a chronic, bilateral corneal and conjunctival problem which typically presents in young individuals. VKC is characterized by itching, photophobia, white mucous discharge, lacrimation, foreign body sensation, and pain due to corneal involvement of shield ulcers. Vernal keratoconjunctivitis is categorized within ocular diseases. The diagnosis is clinical, as no sure biomarkers pathognomonic of the disease have yet been identified. The VKC therapy relies on different types of drugs, from antihistamines and topical steroids to cyclosporine or tacrolimus eye drops. In extremely rare cases, there is also the need for surgical treatment for the debridement of ulcers, as well as for advanced glaucoma and cataracts, caused by excessive prolonged use of steroid eye drops. We performed a systematic review of the literature, according to PRISMA guideline recommendations. We searched the PubMed database from January 2016 to June 2023. Search terms were Vernal, Vernal keratoconjunctivitis, and VKC. We initially identified 211 articles. After the screening process, 168 studies were eligible according to our criteria and were included in the review. In this study, we performed a systematic literature review to provide a comprehensive overview of currently available diagnostic methods, management of VKC, and its treatments...."
cornea infection,"Chronic infection of the cornea by Herpes simplex virus (HSV) continues to be an important cause of unilateral blindness. Despite considerable progress in the understanding of the virus at cellular and molecular levels, the prospect of prevention still appears to be long way off. The development of non-toxic topical antiviral agents has been an important step forward in management. However, correct diagnosis and treatment, in particular, the avoidance of inappropriate use of topical steroid remains as important as ever. This article reviews the virological and clinical aspects of HSV keratitis including the current concepts of pathogenesis and management...."
coronary atherosclerosis,"During the past decade, our understanding of the pathophysiology of coronary artery disease (CAD) has undergone a remarkable evolution. We review here how these advances have altered our concepts of and clinical approaches to both the chronic and acute phases of CAD. Previously considered a cholesterol storage disease, we currently view atherosclerosis as an inflammatory disorder. The appreciation of arterial remodeling (compensatory enlargement) has expanded attention beyond stenoses evident by angiography to encompass the biology of nonstenotic plaques. Revascularization effectively relieves ischemia, but we now recognize the need to attend to nonobstructive lesions as well. Aggressive management of modifiable risk factors reduces cardiovascular events and should accompany appropriate revascularization. We now recognize that disruption of plaques that may not produce critical stenoses causes many acute coronary syndromes (ACS). The disrupted plaque represents a ""solid-state"" stimulus to thrombosis. Alterations in circulating prothrombotic or antifibrinolytic mediators in the ""fluid phase"" of the blood can also predispose toward ACS. Recent results have established the multiplicity of ""high-risk"" plaques and the widespread nature of inflammation in patients prone to develop ACS. These findings challenge our traditional view of coronary atherosclerosis as a segmental or localized disease. Thus, treatment of ACS should involve 2 overlapping phases: first, addressing the culprit lesion, and second, aiming at rapid ""stabilization"" of other plaques that may produce recurrent events. The concept of ""interventional cardiology"" must expand beyond mechanical revascularization to embrace preventive interventions that forestall future events...."
crohn disease,"Crohn disease is a chronic idiopathic inflammatory bowel disease condition characterized by skip lesions and transmural inflammation that can affect the entire gastrointestinal tract from the mouth to the anus. For this review article, we performed a review of articles in PubMed through February 1, 2017, by using the following Medical Subject Heading terms: crohns disease, crohn's disease, crohn disease, inflammatory bowel disease, and inflammatory bowel diseases. Presenting symptoms are often variable and may include diarrhea, abdominal pain, weight loss, nausea, vomiting, and in certain cases fevers or chills. There are 3 main disease phenotypes: inflammatory, structuring, and penetrating. In addition to the underlying disease phenotype, up to a third of patients will develop perianal involvement of their disease. In addition, in some cases, extraintestinal manifestations may develop. The diagnosis is typically made with endoscopic and/or radiologic findings. Disease management is usually with pharmacologic therapy, which is determined on the basis of disease severity and underlying disease phenotype. Although the goal of management is to control the inflammation and induce a clinical remission with pharmacologic therapy, most patients will eventually require surgery for their disease. Unfortunately, surgery is not curative and patients still require ongoing therapy even after surgery for disease recurrence. Importantly, given the risks of complications from both Crohn disease and the medications used to treat the disease process, primary care physicians play an important role in optimizing the preventative care management to reduce the risk of complications...."
cryoglobulinemia,"Cryoglobulinaemia refers to the serum presence of cryoglobulins, which are defined as immunoglobulins that precipitate at temperatures <37 °C. Type I cryoglobulinaemia consists of only one isotype or subclass of monoclonal immunoglobulin, whereas type II and type III are classified as mixed cryoglobulinaemia because they include immunoglobulin G (IgG) and IgM. Many lymphoproliferative, infectious and autoimmune disorders have been associated with mixed cryoglobulinaemia; however, hepatitis C virus (HCV) is the aetiologic agent in most patients. The underlying mechanism of the disorder is B cell lymphoproliferation and autoantibody production. Mixed cryoglobulinaemia can cause systemic vasculitis, with manifestations ranging from purpura, arthralgia and weakness to more serious lesions with skin ulcers, neurological and renal involvement. This Primer focuses on mixed cryoglobulinaemia, which has a variable course and a prognosis that is primarily influenced by vasculitis-associated multiorgan damage. In addition, the underlying associated disease in itself may cause considerable mortality and morbidity. Treatment of cryoglobulinaemic vasculitis should be modulated according to the underlying associated disease and the severity of organ involvement and relies on antiviral treatment (for HCV infection), immunosuppression and immunotherapy, particularly anti-CD20 B cell depletion therapies...."
cryptosporidium enteritis,"Foodborne illness, the majority of which is caused by enteric infectious agents, costs global economies billions of dollars each year. The protozoan parasite Cryptosporidium is particularly suited to foodborne transmission and is responsible for >8 million cases of foodborne illness annually. Procedures have been developed for sensitive detection of Cryptosporidium oocysts on fresh produce and molecular diagnostic assays have been widely used in case linkages and infection source tracking, especially during outbreak investigations. The integrated use of advanced diagnostic techniques with conventional epidemiological studies is essential to improve our understanding of the occurrence, source and epidemiology of foodborne cryptosporidiosis. The implementation of food safety management tools such as Good Hygienic Practices (GHP), Hazard Analysis and Critical Control Points (HACCP), and Quantitative Microbial Risk Assessment (QMRA) in industrialised nations and Water, Sanitation, and Hygiene (WASH) in developing countries is central for prevention and control and foodborne cryptosporidiosis in the future...."
cystic fibrosis,"Cystic fibrosis is a genetic and multisystemic disease. The main comorbidity in adulthood is respiratory involvement, with the presence of bronchiectasis, chronic bronchial infection and airflow obstruction. Until a decade ago, treatments were aimed at favoring secretion drainage, reducing respiratory exacerbations, controlling chronic bronchial infection and slowing functional deterioration, but with the advent of cystic fibrosis transmembrane conductance regulator (CFTR) modulators, the cystic fibrosis paradigm has changed. This novel treatment goes a step further in the management of this disease, it is able to improve the production of defective CFTR protein and increase its expression on the cell surface, thus achieving a better functioning of ion exchange, fluidizing respiratory secretions and reducing airflow obstruction. In addition, there are currently different lines of research aimed at correcting the genetic defect that causes cystic fibrosis...."
cystitis - acute,"A Panel of International Experts was convened by the Infectious Diseases Society of America (IDSA) in collaboration with the European Society for Microbiology and Infectious Diseases (ESCMID) to update the 1999 Uncomplicated Urinary Tract Infection Guidelines by the IDSA. Co-sponsoring organizations include the American Congress of Obstetricians and Gynecologists, American Urological Association, Association of Medical Microbiology and Infectious Diseases-Canada, and the Society for Academic Emergency Medicine. The focus of this work is treatment of women with acute uncomplicated cystitis and pyelonephritis, diagnoses limited in these guidelines to premenopausal, non-pregnant women with no known urological abnormalities or co-morbidities. The issues of in vitro resistance prevalence and the ecological adverse effects of antimicrobial therapy (collateral damage) were considered as important factors in making optimal treatment choices and thus are reflected in the rankings of recommendations...."
cytomegalovirus (cmv) infection,"Human cytomegalovirus (HCMV) is a betaherpesvirus with a global seroprevalence of 60-90%. HCMV is the leading cause of congenital infections and poses a great health risk to immunocompromised individuals. Although HCMV infection is typically asymptomatic in the immunocompetent population, infection can result in mononucleosis and has also been associated with the development of certain cancers, as well as chronic inflammatory diseases such as various cardiovascular diseases. In immunocompromised patients, including AIDS patients, transplant recipients, and developing fetuses, HCMV infection is associated with increased rates of morbidity and mortality. Currently there is no vaccine for HCMV and there is a need for new pharmacological treatments. Ongoing research seeks to further define the complex aspects of HCMV pathogenesis, which could potentially lead to the generation of new therapeutics to mitigate the disease states associated with HCMV infection. The following chapter reviews the advancements in our understanding of HCMV pathogenesis in the immunocompetent and immunocompromised hosts...."
degenerative disc disease,"Lumbar disc degeneration is one of the leading causes of chronic low back pain. The degenerative cascade is often initiated by an imbalance between catabolic and anabolic processes in the intervertebral discs. As a consequence of extracellular matrix degradation, neoinnervation and neovascularization take place. Ultimately, this degenerative process results in disc bulging and loss of nucleus pulposus and water content and subsequent loss of disc height. Most patients respond to conservative management and surgical interventions well initially, yet a significant number of patients continue to suffer from chronic low back pain. Because of the high prevalence of long-term discogenic pain, regenerative biological therapies, including gene therapies, growth factors, cellular-based injections, and tissue-engineered constructs, have attracted significant attention in light of their potential to directly address the degenerative process. Understanding the pathophysiology of degenerative disc disease is important in both refining existing technologies and developing innovative techniques to reverse the degenerative processes in the discs. In this review, we aimed to cover the underlying pathophysiology of degenerative disc disease as well as its associated risk factors and give a comprehensive summary about the developmental, structural, radiological, and biomechanical properties of human intervertebral discs...."
dependent personality disorder,"Dependent personality disorder (DPD) has evolved from an abstract idea rooted in a historic and psychoanalytic context to a codified diagnosis in the DSM-IV-TR. This comprehensive review paper chronicles the evolution of DPD through each version of the DSM. Major topics relevant to the disorder are also investigated, including gender and cultural considerations, stability and manifestations of DPD across different developmental stages, comorbidity issues, and others. The purpose of this review is to provide a broad yet comprehensive examination of the complex angles of maladaptive dependency and to identify essential next steps in furthering our knowledge of this disorder. The paper concludes with a discussion of shortcomings in the body of research relevant to DPD, along with specific suggestions for improvement in this field of study...."
diabetic kidney disease,"Diabetes is a major public health challenge and diabetic kidney disease (DKD), a broader diagnostic term than diabetic nephropathy, is the leading cause of chronic kidney disease and end-stage kidney disease in the United States and worldwide. A better understanding of the underlying pathophysiological mechanisms of DKD, and recent clinical trials testing new therapeutic interventions, have shown promising results to curb this epidemic. Given the global health burden of DKD, it is extremely important to prioritize prevention, early recognition, referral, and aggressive management of DKD in the primary care setting...."
dislocation of the finger,"The basal joint complex of the thumb provides the framework necessary for function of the human hand. Although its unique saddle articulation allows for a wide range of motion necessary for routine function of the hand, it is rendered inherently unstable because of poor bony congruency and reliance on its capsuloligamentous support. Painful instability of this joint can stem from several causes including traumatic dislocation, various hypermobility conditions, and chronic overuse and microtrauma. A thorough history and examination as well adequate imaging is necessary for proper evaluation of instability. Treatment options range from nonoperative modalities to surgery, which entails closed, percutaneous, or open reduction with numerous ligament repair and reconstruction techniques. Arthroscopy can also serve to be a useful adjunct for assessment of the joint and stabilization of the critical capsuloligamentous structures. This review outlines the critical osseous and soft-tissue anatomy surrounding the thumb carpometacarpal joint, the key points in evaluating patients presenting with acute traumatic and chronic thumb carpometacarpal instability without fracture or arthritis, and reviews both nonoperative and operative treatments of this injury...."
dislocation of the wrist,"Carpal dislocations result from sequential disruption of the complex relationship between the bones and ligaments of the wrist. Injuries to the carpus occur via predictable mechanisms, an understanding of which is critical to identify and treat these frequently missed patterns of injury and to avoid the sequela of chronic instability. Lunate dislocations are by far the most common, but isolated dislocation of other carpal bones can also occur. Open reduction and internal fixation still remains the gold standard for treatment regardless of the debate around the specific approaches. These high-energy injuries are associated with significant long-term morbidity even when identified promptly and appropriately treated. This review will focus on the evaluation and management of common forms of carpal dislocations...."
drug reaction,"We define an adverse drug reaction as ""an appreciably harmful or unpleasant reaction, resulting from an intervention related to the use of a medicinal product, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product."" Such reactions are currently reported by use of WHO's Adverse Reaction Terminology, which will eventually become a subset of the International Classification of Diseases. Adverse drug reactions are classified into six types (with mnemonics): dose-related (Augmented), non-dose-related (Bizarre), dose-related and time-related (Chronic), time-related (Delayed), withdrawal (End of use), and failure of therapy (Failure). Timing, the pattern of illness, the results of investigations, and rechallenge can help attribute causality to a suspected adverse drug reaction. Management includes withdrawal of the drug if possible and specific treatment of its effects. Suspected adverse drug reactions should be reported. Surveillance methods can detect reactions and prove associations...."
dry eye of unknown cause,"Sjögren's syndrome (SS) is a chronic autoimmune disease of unknown etiology that mainly involves exocrine glands. Patients present with dry mouth and eyes, fever, arthralgia, and other systemic symptoms. In severe cases, the quality of life of patients is affected. At present, there is no cure for SS, and the treatment options are extremely limited. In recent years, studies of patients and animal models have identified abnormalities of immune cell function and cytokines to be involved in SS. A systematic review of the literature may clarify the etiology and pathogenesis of SS, as well as provide a theoretical basis for the development of new drugs for the treatment of SS...."
dysthymic disorder,"Persistent depressive disorder is a chronic mood disorder that is common and often more disabling than episodic major depression. In DSM-5, the term subsumes several chronic depressive presentations, including dysthymia with or without superimposed major depressive episodes, chronic major depression, and recurrent major depression without recovery between episodes. Dysthymia can be difficult to detect in psychiatric and primary care settings until it intensifies in the form of a superimposed major depressive episode. Although information is scarce concerning the cause of persistent depressive disorder including dysthymia, the causation is likely to be multifactorial. In this narrative Review, we discuss current knowledge about the nosology and neurobiological basis of dysthymia and persistent depressive disorder, emphasising a dimensional perspective based on course for further research. We also review new developments in psychotherapy and pharmacotherapy for persistent depressive disorder, and propose a tailored, modular approach to accommodate its multifaceted nature...."
eczema,"Atopic dermatitis, commonly known as eczema, is a common chronic, relapsing skin disease characterized by pruritus, disrupted epidermal barrier function, and immunoglobulin E-mediated sensitization to food and environmental allergens. Atopic dermatitis is a complex disease that arises from interactions between genes and the environment. Loci on several chromosomes have been identified, including a family of epithelium-related genes called the epidermal differentiation complex on chromosome 1q21. Mutations in filaggrin, a key protein in epidermal differentiation, have also been identified in early-onset and severe atopic dermatitis. There are 3 classical stages of eczema: infantile, childhood, and adulthood. The spectrum of eczema presentation varies widely from a variant that only affect the hand to major forms where a patient presents with erythroderma. The acute and subacute lesions of atopic dermatitis are often characterized by intensely pruritic, erythematous papules and vesicles with excoriations and a serous exudate. Chronic atopic dermatitis is exemplified by lichenified plaques and papules with excoriations. Atopic dermatitis patients are also at higher risk for skin infections, including bacterial and viral superinfections. Conventional therapy includes avoidance of irritants and potential allergens, as well as continued hydration of the skin with thick emollients. Topical corticosteroids and topical immunomodulators are often used primarily. Other therapies including phototherapy, antimicrobials, antihistamines, and systemic immunosuppressives are also options in certain situations...."
endometrial hyperplasia,"The objectives of this Clinical Expert Series on endometrial hyperplasia are to review the etiology and risk factors, histologic classification and subtypes, malignant progression risks, prevention options, and to outline both surgical and nonsurgical treatment options. Abnormal uterine and postmenopausal bleeding remain the hallmark of endometrial pathology, and up to 10-20% of postmenopausal bleeding will be either hyperplasia or cancer; thus, immediate evaluation of any abnormal bleeding with either tissue procurement for pathology or imaging should be undertaken. Although anyone with a uterus may develop atypical hyperplasia, also known as endometrial intraepithelial neoplasia (EIN), genetic predispositions (eg, Lynch syndrome), obesity, chronic anovulation, and polycystic ovarian syndrome all markedly increase these risks, whereas use of oral contraceptive pills or progesterone-containing intrauterine devices will decrease the risk. An EIN diagnosis carries a high risk of concomitant endometrial cancer or eventual progression to cancer in the absence of treatment. The definitive and curative treatment for EIN remains hysterectomy; however, the obesity epidemic, the potential desire for fertility-sparing treatments, the recognition of varying rates of malignant transformation, medical comorbidities, and an aging population all may factor into decisions to employ nonsurgical treatment modalities...."
endometriosis,"Endometriosis is a chronic inflammatory disease defined as the presence of endometrial tissue outside the uterus, which causes pelvic pain and infertility. This disease should be viewed as a public health problem with a major effect on the quality of life of women as well as being a substantial economic burden. In light of the considerable progress with diagnostic imaging (for example, transvaginal ultrasound and MRI), exploratory laparoscopy should no longer be used to diagnose endometriotic lesions. Instead, diagnosis of endometriosis should be based on a structured process involving the combination of patient interviews, clinical examination and imaging. Notably, a diagnosis of endometriosis often leads to immediate surgery. Therefore, rethinking the diagnosis and management of endometriosis is warranted. Instead of assessing endometriosis on the day of the diagnosis, gynaecologists should consider the patient's 'endometriosis life'. Medical treatment is the first-line therapeutic option for patients with pelvic pain and no desire for immediate pregnancy. In women with infertility, careful consideration should be made regarding whether to provide assisted reproductive technologies prior to performing endometriosis surgery. Modern endometriosis management should be individualized with a patient-centred, multi-modal and interdisciplinary integrated approach...."
endometritis,"Endometritis is defined as an infection or inflammation of the endometrium. Endometritis is of two types: acute and chronic. Acute endometritis is the symptomatic acute inflammation of the endometrium, which upon examination with a microscope shows micro-abscess and neutrophil invasion in the superficial endometrium. One of its most common manifestations is postpartum endometritis. Chronic endometritis is a silent disease usually diagnosed on the workup of secondary amenorrhoea and infertility. An important cause of chronic endometritis is tuberculosis, especially in developing nations. Chronic and acute endometritis have been associated with poor reproductive outcomes. Worse outcomes have been reported for individuals with chronic endometritis. This is a scoping review of endometritis and its impact on fertility...."
epididymitis,"Epididymitis may be acute (symptoms last less than 6 weeks) or chronic (more than 3 months). Acute epididymitis is almost always unilateral. In sexually active men under 35 years of age, acute epididymitis is frequently caused by Chlamydia trachomatis and less frequently by Neisseria gonorrhoeae and is usually associated with overt or subclinical urethritis. Acute epididymitis in older men, children or following urinary tract instrumentation is commonly caused by gram-negative bacilli. The epididymis is sometimes the site of metastatic infection, such as tuberculosis. It is important to differentiate epididymitis from other causes for acute scrotum, such as testicular torsion and tumor. The cause of acute scrotum especially in children cannot always be identified. Therefore, Doppler ultrasonography and radionuclide scans are often used. In infants and young boys, genitourinary abnormalities are causative factors, and therefore should be excluded by imaging. Supportive measures and antimicrobial agents are the mainstay of therapy...."
episcleritis,"Scleritis and episcleritis are rare ocular inflammatory diseases but deserve to be known by internists because of their frequent association with systemic autoimmune diseases. It is important to distinguish them between because their prognosis, therapeutic management and potential complications are very different. Episcleritis represents a superficial ocular inflammation with usually benign visual prognosis, no complication with local treatment, and is associated with a systemic autoimmune disease in rare cases. In contrast, scleritis is a potentially serious ophthalmological condition that can threaten the visual prognosis in the absence of appropriate systemic treatment. It is associated with an underlying disease in 40-50% of cases, in particular a systemic autoimmune disease (25-35% of cases) or an infectious cause (5-10% of cases). Rheumatoid arthritis and systemic vasculitides, particularly antineutrophil cytoplasmic antibody (ANCA)-associated vasculitides, are the main autoimmune causes of scleritis and episcleritis. Scleritis can reveal the underlying autoimmune disease and requires systematic etiological investigations. Aggressive, complicated, refractory forms or those associated with a systemic autoimmune disease require glucocorticoids or even immunosuppressants, and close collaboration between ophthalmologists and internists is required. The development of biologic agents offers new effective therapeutic tools in the management of these difficult cases...."
erectile dysfunction,"Erectile dysfunction is a common condition. Many men do not self-report erectile dysfunction symptoms; thus, physicians must ask about sexual health and function to elicit concerns. Although the impact of untreated erectile dysfunction on quality of life should prompt physicians to ask about symptoms, so should the presence of cardiac and metabolic disease. Diagnosis of erectile dysfunction is made in the primary care office, and patients may be treated with oral, intraurethral, or intracavernosal medications; vacuum devices; or penile prosthesis. Treatment should be guided by patient preference with a goal of improving quality of life and mitigating chronic disease risk...."
erythroderma,"Erythroderma (exfoliative dermatitis), first described by Von Hebra in 1868, manifests as a cutaneous inflammatory state, with associated skin barrier and metabolic dysfunctions. The annual incidence of erythroderma is estimated to be 1-2 per 100 000 population in Europe with a male preponderance. Erythroderma may present at birth, or may develop acutely or insidiously (due to progression of an underlying primary pathology, including malignancy). Although there is a broad range of diseases that associate with erythroderma, the vast majority of cases result from pre-existing and chronic dermatoses. In the first part of this two-part concise review, we explore the underlying causes, clinical presentation, pathogenesis and investigation of erythroderma, and suggest potential treatment targets for erythroderma with unknown causes...."
esophagitis,"Esophageal candidiasis (EC) is the most common type of infectious esophagitis. In the gastrointestinal tract, the esophagus is the second most susceptible to candida infection, only after the oropharynx. Immunocompromised patients are most at risk, including patients with HIV/AIDS, leukemia, diabetics, and those who are receiving corticosteroids, radiation, and chemotherapy. Another group includes those who used antibiotics frequently and those who have esophageal motility disorder (cardiac achalasia and scleroderma). Patients complained of pain on swallowing, difficulty swallowing, and pain behind the sternum. On physical examination, there is a plaque that often occurs together with oral thrush. Endoscopic examination is the best approach to diagnose this disease by directly observing the white mucosal plaque-like lesions and exudates adherent to the mucosa. These adherent lesions cannot be washed off with water from irrigation. This disease is confirmed histologically by taking the biopsy or brushings of yeast and pseudohyphae invading mucosal cells. The treatment is by systemic antifungal drugs given orally in a defined course. It is important to differentiate esophageal candidiasis from other forms of infectious esophagitis such as cytomegalovirus, herpes simplex virus, gastroesophageal reflux disease, medication-induced esophagitis, radiation-induced esophageal injury, and inflammatory conditions such as eosinophilic esophagitis. Except for a few complications such as necrotizing esophageal candidiasis, fistula, and sepsis, the prognosis of esophageal candidiasis has been good...."
familial dysautonomia,"Familial dysautonomia (FD) is an autosomal recessive hereditary sensory and autonomic neuropathy (HSAN, type 3) expressed at birth with profound sensory loss and early death. The FD founder mutation in the ELP1 gene arose within the Ashkenazi Jews in the sixteenth century and is present in 1:30 Jews of European ancestry. The mutation yield a tissue-specific skipping of exon 20 and a loss of function of the elongator-1 protein (ELP1), which is essential for the development and survival of neurons. Patients with FD produce variable amounts of ELP1 in different tissues, with the brain producing mostly mutant transcripts. Patients have excessive blood pressure variability due to the failure of the IXth and Xth cranial nerves to carry baroreceptor signals. Neurogenic dysphagia causes frequent aspiration leading to chronic pulmonary disease. Characteristic hyperadrenergic ""autonomic crises"" consisting of brisk episodes of severe hypertension, tachycardia, skin blotching, retching, and vomiting occur in all patients. Progressive features of the disease include retinal nerve fiber loss and blindness, and proprioceptive ataxia with severe gait impairment. Chemoreflex failure may explain the high frequency of sudden death in sleep. Although 99.5% of patients are homozygous for the founder mutation, phenotypic severity varies, suggesting that modifier genes impact expression. Medical management is currently symptomatic and preventive. Disease-modifying therapies are close to clinical testing. Endpoints to measure efficacy have been developed, and the ELP1 levels are a good surrogate endpoint for target engagement. Early intervention may be critical for treatment to be successful...."
